R32X00076	Knuckles' Chaotix (Japan, USA) (Beta) (1994-12-30)
R32X00077	Knuckles' Chaotix (Japan, USA) (Beta) (1995-01-12)
R32X00078	Knuckles' Chaotix (Japan, USA) (Beta) (1995-01-19)
R32X00079	Knuckles' Chaotix (Japan, USA) (Beta) (1995-02-07)
R32X00080	Knuckles' Chaotix (Japan, USA) (Beta) (1995-02-08)
R32X00081	Knuckles' Chaotix (Japan, USA) (Beta) (1995-02-09)
R32X00082	Knuckles' Chaotix (Japan, USA) (Beta) (1995-02-10)
R32X00083	Knuckles' Chaotix (Japan, USA) (Beta) (1995-02-13)
R32X00084	Knuckles' Chaotix (Japan, USA) (Beta) (1995-02-13) (Alt 1)
R32X00085	Knuckles' Chaotix (Japan, USA) (Beta) (1995-02-14)
R32X00086	Kolibri (USA, Europe)
R32X00087	Mars Check Program Version 1.0 (Unknown) (SDK Build) (Set 1)
R32X00088	Mars Check Program Version 1.0 (Unknown) (SDK Build) (Set 2)
R32X00089	Mars Sample Program - Gnu Sierra (Unknown) (SDK Build)
R32X00090	Mars Sample Program - Pharaoh (Unknown) (SDK Build)
R32X00091	Mars Sample Program - Runlength Mode Test (Unknown) (SDK Build)
R32X00092	Mars Sample Program - Texture Test (Unknown) (SDK Build)
R32X00093	Metal Head (Europe) (En,Ja)
R32X00094	Metal Head (Japan, USA) (Beta) (1994-11-14)
R32X00095	Metal Head (Japan, USA) (Beta) (1994-11-18)
R32X00096	Metal Head (Japan, USA) (Beta) (1994-11-21)
R32X00097	Metal Head (Japan, USA) (Beta) (1994-12-02)
R32X00098	Metal Head (Japan, USA) (Beta) (1994-12-07)
R32X00099	Metal Head (Japan, USA) (Beta) (1994-12-07) (Alt 1)
R32X00100	Metal Head (Japan, USA) (Beta) (1994-12-09)
R32X00101	Metal Head (Japan, USA) (Beta) (1994-12-13)
R32X00102	Metal Head (Japan, USA) (Beta) (1994-12-20)
R32X00103	Metal Head (Japan, USA) (En,Ja)
R32X00104	Mortal Kombat II (Europe)
R32X00105	Mortal Kombat II (Japan, USA)
R32X00106	Motherbase (Europe) (Proto)
R32X00107	Motocross Championship (Europe)
R32X00108	Motocross Championship (Japan, USA) (Beta) (1994-10-12)
R32X00109	Motocross Championship (Japan, USA) (Beta) (1994-10-17)
R32X00110	Motocross Championship (Japan, USA) (Beta) (1994-10-18)
R32X00111	Motocross Championship (Japan, USA) (Beta) (1994-10-19)
R32X00112	Motocross Championship (Japan, USA) (Beta) (1994-10-20)
R32X00113	Motocross Championship (Japan, USA) (Beta) (1994-10-24)
R32X00114	Motocross Championship (Japan, USA) (Beta) (1994-10-28)
R32X00115	Motocross Championship (Japan, USA) (Beta) (1994-11-01)
R32X00116	Motocross Championship (Japan, USA) (Beta) (1994-11-02)
R32X00117	Motocross Championship (Japan, USA) (Beta) (1994-11-02) (Alt 1)
R32X00118	Motocross Championship (Japan, USA) (Beta) (1994-11-03)
R32X00119	Motocross Championship (Japan, USA) (Beta) (1994-11-04)
R32X00120	Motocross Championship (Japan, USA) (Beta) (1994-11-07)
R32X00121	Motocross Championship (Japan, USA) (Beta) (1994-11-08)
R32X00122	Motocross Championship (Japan, USA) (Beta) (1994-11-11)
R32X00123	Motocross Championship (USA)
R32X00124	NBA Jam - Tournament Edition (World)
R32X00125	NFL Quarterback Club (World)
R32X00126	Parasquad ~ Zaxxon's Motherbase (Japan, USA) (Beta) (1995-02-10)
R32X00127	Parasquad ~ Zaxxon's Motherbase (Japan, USA) (Beta) (1995-02-21)
R32X00128	Parasquad ~ Zaxxon's Motherbase (Japan, USA) (Beta) (1995-02-23)
R32X00129	Parasquad ~ Zaxxon's Motherbase (Japan, USA) (Beta) (1995-02-27)
R32X00130	Parasquad ~ Zaxxon's Motherbase (Japan, USA) (Beta) (1995-03-03)
R32X00131	Parasquad ~ Zaxxon's Motherbase (Japan, USA) (Beta) (1995-03-06)
R32X00132	Parasquad ~ Zaxxon's Motherbase (Japan, USA) (Beta) (1995-03-10)
R32X00133	Parasquad ~ Zaxxon's Motherbase (Japan, USA) (Beta) (1995-03-15)
R32X00134	Parasquad ~ Zaxxon's Motherbase (Japan, USA) (Beta) (1995-03-31)
R32X00135	Parasquad ~ Zaxxon's Motherbase 2000 (Japan, USA)
R32X00136	Pinocchio (Europe) (Proto) (1995-06-12)
R32X00137	Pitfall - The Mayan Adventure (USA)
R32X00138	Primal Rage (USA, Europe)
R32X00139	RBI Baseball '95 (USA)
R32X00140	Sangokushi IV (Japan)
R32X00141	Shadow Squadron ~ Stellar Assault (USA, Europe)
R32X00142	Shadow Squadron ~ Stellar Assault (USA, Europe) (Beta) (1995-02-22)
R32X00143	Shadow Squadron ~ Stellar Assault (USA, Europe) (Beta) (1995-03-02)
R32X00144	Shadow Squadron ~ Stellar Assault (USA, Europe) (Beta) (1995-03-06)
R32X00145	Shadow Squadron ~ Stellar Assault (USA, Europe) (Beta) (1995-03-13)
R32X00146	Shadow Squadron ~ Stellar Assault (USA, Europe) (Beta) (1995-03-13) (Alt 1)
R32X00147	Soulstar X (USA) (Proto)
R32X00148	Space Harrier (Europe)
R32X00149	Space Harrier (Japan, USA)
R32X00150	Space Harrier (Japan, USA) (Beta) (1994-09-20)
R32X00151	Star Trek - Starfleet Academy - Starship Bridge Simulator (USA)
R32X00152	Star Wars Arcade (Europe)
R32X00153	Star Wars Arcade (Europe) (Beta) (1994-09-23)
R32X00154	Star Wars Arcade (Europe) (Beta) (1994-09-29)
R32X00155	Star Wars Arcade (Europe) (Beta) (1994-10-06)
R32X00156	Star Wars Arcade (Europe) (Beta) (1994-10-07)
R32X00157	Star Wars Arcade (Japan)
R32X00158	Star Wars Arcade (Japan) (Beta) (1994-09-30)
R32X00159	Star Wars Arcade (Japan) (Beta) (1994-10-03)
R32X00160	Star Wars Arcade (Japan) (Beta) (1994-10-05)
R32X00161	Star Wars Arcade (USA)
R32X00162	Star Wars Arcade (USA) (Beta) (1994-08-30)
R32X00163	Star Wars Arcade (USA) (Beta) (1994-09-01)
R32X00164	Star Wars Arcade (USA) (Beta) (1994-09-06)
R32X00165	Star Wars Arcade (USA) (Beta) (1994-09-07)
R32X00166	Star Wars Arcade (USA) (Beta) (1994-09-09)
R32X00167	Star Wars Arcade (USA) (Beta) (1994-09-12)
R32X00168	Star Wars Arcade (USA) (Beta) (1994-09-13)
R32X00169	Star Wars Arcade (USA) (Beta) (1994-09-14)
R32X00170	Star Wars Arcade (USA) (Beta) (1994-09-15)
R32X00171	Star Wars Arcade (USA) (Beta) (1994-09-16)
R32X00172	Star Wars Arcade (USA) (Beta) (1994-09-18)
R32X00173	Stellar Assault (Japan)
R32X00174	Stellar Assault (Japan) (En) (Beta) (1995-02-06)
R32X00175	Stellar Assault (Japan) (En) (Beta) (1995-02-13)
R32X00176	T-MEK (USA, Europe)
R32X00177	Tempo (Japan, USA)
R32X00178	Tempo (Japan, USA) (Beta) (1994-12-21)
R32X00179	Tempo (Japan, USA) (Beta) (1995-01-19)
R32X00180	Tempo (Japan, USA) (Beta) (1995-01-24)
