RNES00146	Castlevania III - Dracula's Curse (USA)
RNES00147	Caveman Games (USA)
RNES00148	Challenge of the Dragon (USA) (Unl)
RNES00149	Championship Bowling (USA)
RNES00150	Championship Pool (USA)
RNES00151	Championship Rally (Europe)
RNES00152	Cheetahmen II (USA) (Unl)
RNES00153	Chessmaster, The (USA)
RNES00154	Chiller (USA) (Unl)
RNES00155	Chip 'n Dale Rescue Rangers (USA)
RNES00156	Chip 'n Dale Rescue Rangers 2 (USA)
RNES00157	Chris Evert & Ivan Lendl in Top Players' Tennis (USA)
RNES00158	Chubby Cherub (USA)
RNES00159	Circus Caper (USA)
RNES00160	City Connection (USA)
RNES00161	Clash at Demonhead (USA)
RNES00162	Classic Concentration (USA)
RNES00163	Cliffhanger (USA)
RNES00164	Clu Clu Land (World)
RNES00165	Cobra Command (USA)
RNES00166	Cobra Triangle (USA)
RNES00167	Code Name - Viper (USA)
RNES00168	Color a Dinosaur (USA)
RNES00169	Commando (USA)
RNES00170	Conan (USA)
RNES00171	Conflict (USA)
RNES00172	Conquest of the Crystal Palace (USA)
RNES00173	Contra (USA)
RNES00174	Contra Force (USA)
RNES00175	Cool World (USA)
RNES00176	Corvette ZR-1 Challenge (Europe)
RNES00177	Cosmic Spacehead (Europe) (En,Fr,De,Es) (Unl)
RNES00178	Cowboy Kid (USA)
RNES00179	Crackout (Europe)
RNES00180	Crash 'n' the Boys - Street Challenge (USA)
RNES00181	Crisis Force (Japan)
RNES00182	Crystal Mines (USA) (Unl)
RNES00183	Crystalis (USA)
RNES00184	Cyber Stadium Series - Base Wars (USA)
RNES00185	Cyberball (USA)
RNES00186	Cybernoid - The Fighting Machine (USA)
RNES00187	Dance Aerobics (USA)
RNES00188	Danny Sullivan's Indy Heat (USA)
RNES00189	Darkman (USA)
RNES00190	Darkwing Duck (USA)
RNES00191	Dash Galaxy in the Alien Asylum (USA)
RNES00192	Day Dreamin' Davey (USA)
RNES00193	Days of Thunder (USA)
RNES00194	Deadly Towers (USA)
RNES00195	Death Race (USA) (Unl)
RNES00196	Deathbots (USA) (Rev 1) (Unl)
RNES00197	Defender II (USA)
RNES00198	Defender of the Crown (USA)
RNES00199	Defenders of Dynatron City (USA)
RNES00200	Deja Vu (USA)
RNES00201	Demon Sword - Release the Power (USA)
RNES00202	Desert Commander (USA)
RNES00203	Destination Earthstar (USA)
RNES00204	Destiny of an Emperor (USA)
RNES00205	Devil World (Europe)
RNES00206	Dick Tracy (USA)
RNES00207	Die Hard (USA)
RNES00208	Dig Dug II - Trouble in Paradise (USA)
RNES00209	Digger - The Legend of the Lost City (USA)
RNES00210	Dirty Harry (USA)
RNES00211	Dizzy the Adventurer (USA) (Aladdin Compact Cartridge) (Unl)
RNES00212	Donald Duck (Japan)
RNES00213	Donkey Kong (World) (Rev A)
RNES00214	Donkey Kong 3 (World)
RNES00215	Donkey Kong Classics (USA, Europe)
RNES00216	Donkey Kong Jr. (World) (Rev A)
RNES00217	Donkey Kong Jr. Math (USA, Europe)
RNES00218	Double Dare (USA)
RNES00219	Double Dragon (USA)
RNES00220	Double Dragon II - The Revenge (USA) (Rev A)
RNES00221	Double Dragon III - The Sacred Stones (USA)
RNES00222	Double Dribble (USA) (Rev A)
RNES00223	Double Strike - Aerial Attack Force (USA) (v1.1) (Unl)
RNES00224	Dr. Chaos (USA)
RNES00225	Dr. Jekyll and Mr. Hyde (USA)
RNES00226	Dr. Mario (Japan, USA) (Rev A)
RNES00227	Dragon Ball (Europe)
RNES00228	Dragon Buster II - Yami no Fuuin (Japan)
RNES00229	Dragon Fighter (USA)
RNES00230	Dragon Power (USA)
RNES00231	Dragon Spirit - The New Legend (USA)
RNES00232	Dragon Warrior (USA) (Rev A)
RNES00233	Dragon Warrior II (USA)
RNES00234	Dragon Warrior III (USA)
RNES00235	Dragon Warrior IV (USA)
RNES00236	Dragon's Lair (USA)
RNES00237	Dream Penguin Adventure (USA)
RNES00238	Dropzone (Europe)
RNES00239	Duck Hunt (World)
RNES00240	Duck Maze (Australia) (Unl)
RNES00241	DuckTales (USA)
RNES00242	DuckTales 2 (USA)
RNES00243	Dudes With Attitude (USA) (Rev 1) (Unl)
RNES00244	Dungeon Magic - Sword of the Elements (USA)
RNES00245	Dusty Diamond's All-Star Softball (USA)
RNES00246	Dynablaster (Europe)
RNES00247	Dynowarz - Destruction of Spondylus (USA)
RNES00248	Earth Bound (USA) (Proto)
RNES00249	Elevator Action (USA)
RNES00250	Eliminator Boat Duel (USA)
RNES00251	Elite (Europe) (En,Fr,De)
RNES00252	Empereur, L' (USA)
RNES00253	Eric Cantona Football Challenge - Goal! 2 (Europe)
RNES00254	Excitebike (Japan, USA)
RNES00255	Exodus - Journey to the Promised Land (USA) (v5.0) (Unl)
RNES00256	F-117A - Stealth Fighter (USA)
RNES00257	F-15 Strike Eagle (USA)
RNES00258	F15 City War (USA) (v1.1) (Unl)
RNES00259	Family Feud (USA)
RNES00260	Fantastic Adventures of Dizzy, The (USA) (Unl)
RNES00261	Fantasy Zone (USA) (Unl)
RNES00262	Faria - A World of Mystery & Danger! (USA)
RNES00263	Faxanadu (USA) (Rev A)
RNES00264	Felix the Cat (USA)
RNES00265	Ferrari Grand Prix Challenge (USA)
RNES00266	Fester's Quest (USA)
RNES00267	Final Fantasy (Japan)
RNES00268	Final Fantasy (USA)
RNES00269	Final Fantasy II (Japan)
RNES00270	Final Fantasy III (Japan)
RNES00271	Fire 'n Ice (USA)
RNES00272	Fire Hawk (USA) (Unl)
RNES00273	Fisher-Price - Firehouse Rescue (USA)
RNES00274	Fisher-Price - I Can Remember (USA)
RNES00275	Fisher-Price - Perfect Fit (USA)
RNES00276	Fist of the North Star (USA)
RNES00277	Flight of the Intruder (USA)
RNES00278	Flintstones, The - The Rescue of Dino & Hoppy (USA)
RNES00279	Flintstones, The - The Surprise at Dinosaur Peak! (USA)
RNES00280	Flying Dragon - The Secret Scroll (USA)
