RSNES0139	Casper (USA)
RSNES0140	Castlevania - Dracula X (USA)
RSNES0141	Castlevania - Vampire's Kiss (Europe)
RSNES0142	Castlevania - Vampire's Kiss (USA) (Alt)
RSNES0143	Castlevania - Vampire's Kiss (USA)
RSNES0144	Champions - World Class Soccer (Europe)
RSNES0145	Champions - World Class Soccer (USA)
RSNES0146	Championship Pool (USA)
RSNES0147	Championship Soccer '94 (USA)
RSNES0148	Chaos Engine, The (USA)
RSNES0149	Chaos Seed - Fuusui Kairoki (USA)
RSNES0150	Chavez (USA)
RSNES0151	Chavez II (USA)
RSNES0152	Chessmaster, The (Europe)
RSNES0153	Chessmaster, The (USA)
RSNES0154	Chester Cheetah - Too Cool to Fool (USA)
RSNES0155	Chester Cheetah - Wild Wild Quest (USA)
RSNES0156	Choplifter III - Rescue & Survive (USA)
RSNES0157	Choujikuu Yousai Macross - Scrambled Valkyrie (Japan)
RSNES0158	Chrono Trigger (USA) (Alt)
RSNES0159	Chrono Trigger (USA)
RSNES0160	Chrono Trigger 2 - Crimson Echoes (USA) (Alt)
RSNES0161	Chrono Trigger 2 - Crimson Echoes (USA)
RSNES0162	Chuck Rock (USA)
RSNES0163	Civilization (USA)
RSNES0164	Clay Fighter - Tournament Edition (USA)
RSNES0165	Clay Fighter (USA)
RSNES0166	Clay Fighter 2 - Judgment Clay (USA)
RSNES0167	Claymates (USA)
RSNES0168	Cliffhanger (USA)
RSNES0169	Clock Tower (USA) (Alt)
RSNES0170	Clock Tower (USA)
RSNES0171	Clue (USA)
RSNES0172	College Football USA '97 - The Road to New Orleans (USA)
RSNES0173	College Slam (USA)
RSNES0174	Combatribes, The (USA)
RSNES0175	Congo's Caper (USA)
RSNES0176	Contra III - The Alien Wars (USA)
RSNES0177	Cool Spot (Europe)
RSNES0178	Cool Spot (USA)
RSNES0179	Cool World (USA)
RSNES0180	Cutthroat Island (USA)
RSNES0181	Cyber Spin (USA)
RSNES0182	Cybernator (USA)
RSNES0183	Cyborg 009 (USA)
RSNES0184	D-Force (USA)
RSNES0185	Daffy Duck - The Marvin Missions (Germany)
RSNES0186	Daffy Duck - The Marvin Missions (USA)
RSNES0187	Darius Twin (USA)
RSNES0188	Dark Law - Meaning of Death (USA)
RSNES0189	David Crane's Amazing Tennis (USA)
RSNES0190	Daze Before Christmas (Europe)
RSNES0191	Daze Before Christmas (USA)
RSNES0192	Death and Return of Superman, The (USA)
RSNES0193	Demolition Man (USA)
RSNES0194	Demon's Crest (Europe)
RSNES0195	Demon's Crest (USA)
RSNES0196	Dennis the Menace (USA)
RSNES0197	Desert Strike - Return to the Gulf (USA)
RSNES0198	Dig & Spike Volleyball (USA)
RSNES0199	Dino City (USA)
RSNES0200	Dino Dini's Soccer! (Europe)
RSNES0201	Dirt Racer (Europe)
RSNES0202	Dirt Racer (USA)
RSNES0203	Dirt Trax FX (USA)
RSNES0204	Donkey Kong Country - Blockbuster World Video Game Championship II (USA)
RSNES0205	Donkey Kong Country (Australia)
RSNES0206	Donkey Kong Country (USA) (Alt)
RSNES0207	Donkey Kong Country (USA) (Competition Edition)
RSNES0208	Donkey Kong Country (USA) (Player's Choice)
RSNES0209	Donkey Kong Country (USA) (Rev 2)
RSNES0210	Donkey Kong Country (USA)
RSNES0211	Donkey Kong Country 2 - Diddy's Kong Quest (Australia)
RSNES0212	Donkey Kong Country 2 - Diddy's Kong Quest (USA) (Rev 1)
RSNES0213	Donkey Kong Country 2 - Diddy's Kong Quest (USA)
RSNES0214	Donkey Kong Country 3 - Dixie Kong's Double Trouble! (USA)
RSNES0215	Doom (Australia)
RSNES0216	Doom (USA) (Alt)
RSNES0217	Doom (USA)
RSNES0218	Doom Troopers (USA)
RSNES0219	Doomsday Warrior (USA)
RSNES0220	Double Dragon V - The Shadow Falls (USA)
RSNES0221	Dr. Mario (USA)
RSNES0222	Dragon - The Bruce Lee Story (Europe)
