RBGO00129	Bomberman GB (USA, Europe) (SGB Enhanced)
RBGO00130	Bomberman GB (USA, Europe)
RBGO00131	Bonk's Adventure (USA)
RBGO00132	Bonk's Revenge (USA) (SGB Enhanced)
RBGO00133	Bonk's Revenge (USA)
RBGO00134	Booby Boys (Japan) (Translated En)
RBGO00135	Boomer's Adventure in ASMIK World (USA)
RBGO00136	Boulder Dash (Europe)
RBGO00137	Boulder Dash (Japan)
RBGO00138	Boxxle (USA, Europe) (Rev A)
RBGO00139	Boxxle (USA, Europe)
RBGO00140	Boxxle II (USA, Europe)
RBGO00141	Boxxle II (USA)
RBGO00142	Brain Bender (Europe)
RBGO00143	Brain Bender (USA)
RBGO00144	Brain Drain (Europe) (SGB Enhanced)
RBGO00145	Brain Drain (Japan) (SGB Enhanced)
RBGO00146	Brain Drain (USA) (SGB Enhanced)
RBGO00147	Brain Drain (USA)
RBGO00148	Bram Stoker's Dracula (USA, Europe)
RBGO00149	BreakThru! (USA)
RBGO00150	Bubble Bobble (Japan)
RBGO00151	Bubble Bobble (USA, Europe)
RBGO00152	Bubble Bobble Part 2 (USA, Europe)
RBGO00153	Bubble Ghost (Japan)
RBGO00154	Bubble Ghost (USA, Europe)
RBGO00155	Bubsy II (Europe)
RBGO00156	Bubsy II (USA)
RBGO00157	Bugs Bunny Crazy Castle 2, The (USA)
RBGO00158	Bugs Bunny Crazy Castle, The (USA, Europe)
RBGO00159	Burai Fighter Deluxe (USA, Europe)
RBGO00160	BurgerTime Deluxe (World)
RBGO00161	Burning Paper (Japan)
RBGO00162	Bust-A-Move 2 - Arcade Edition (USA, Europe)
RBGO00163	Bust-A-Move 3 DX (Europe)
RBGO00164	Buster Bros. (USA)
RBGO00165	Caesars Palace (Europe) (En,Fr,De,Es,It)
RBGO00166	Caesars Palace (Japan)
RBGO00167	Caesars Palace (USA) (Rev A)
RBGO00168	Caesars Palace (USA)
RBGO00169	Captain America and the Avengers (USA)
RBGO00170	Captain Knick-Knack (Asia) (Unl)
RBGO00171	Captain Tsubasa J - Zenkoku Seiha e no Chousen (Japan)
RBGO00172	Card Game (Japan)
RBGO00173	Casino FunPak (USA, Europe)
RBGO00174	Casper (Europe)
RBGO00175	Casper (USA)
RBGO00176	Castelian (Europe)
RBGO00177	Castelian (USA)
RBGO00178	Castle Quest (Europe)
RBGO00179	Castlevania - The Adventure (Europe)
RBGO00180	Castlevania - The Adventure (USA)
RBGO00181	Castlevania Adventure, The (USA)
RBGO00182	Castlevania II - Belmont's Revenge (USA, Europe)
RBGO00183	Castlevania Legends (USA, Europe) (SGB Enhanced)
RBGO00184	Castlevania Legends (USA, Europe)
RBGO00185	Catrap (USA)
RBGO00186	Cave Noire (Japan) (Translated En)
RBGO00187	Centipede (USA, Europe) alt
RBGO00188	Centipede (USA, Europe)
RBGO00189	Centipede (USA)
RBGO00190	Chachamaru Panic (Japan)
RBGO00191	Chalvo 55 - Super Puzzle Action (Japan) (Translated En)
RBGO00192	Chalvo 55 - Super Puzzle Action (Japan)
RBGO00193	Championship Pool (USA)
RBGO00194	Chase H.Q. (USA, Europe)
RBGO00195	Chessmaster, The (DMG-EM) (Europe)
RBGO00196	Chessmaster, The (DMG-EM) (Japan)
RBGO00197	Chessmaster, The (DMG-N5) (USA) (Rev A)
RBGO00198	Chessmaster, The (DMG-N5) (USA)
RBGO00199	Chessmaster, The (USA) (Rev A)
RBGO00200	Chessmaster, The (USA)
RBGO00201	Chiki Chiki Machine Mou Race (Japan)
RBGO00202	Chiki Chiki Tengoku (Japan)
RBGO00203	Chikyuu Kaihou Gun ZAS (Japan)
RBGO00204	Choplifter II - Rescue & Survive (USA)
RBGO00205	Choplifter III (Europe)
RBGO00206	Chuck Rock (USA, Europe)
RBGO00207	Cliffhanger (USA, Europe)
RBGO00208	Collection Pocket (Japan)
RBGO00209	College Slam (USA)
RBGO00210	Contra - The Alien Wars (USA) (SGB Enhanced)
RBGO00211	Contra - The Alien Wars (USA)
RBGO00212	Cool Ball (USA)
RBGO00213	Cool Hand (Europe) (Fr,De)
RBGO00214	Cool Hand (Europe)
RBGO00215	Cool Spot (Europe)
RBGO00216	Cool Spot (USA)
RBGO00217	Cool World (USA, Europe)
RBGO00218	Cosmo Tank (Japan)
RBGO00219	Cosmo Tank (USA)
RBGO00220	Crayon Shin-chan - Ora no Gokigen Collection (Japan)
RBGO00221	Crayon Shin-chan - Ora to Shiro wa Otomodachi Da yo (Japan)
RBGO00222	Crayon Shin-chan 2 - Ora to Wanpaku Gokko Dazo (Japan)
RBGO00223	Crayon Shin-chan 3 - Ora no Gokigen Athletic (Japan)
