RN6400131	Diddy Kong Racing (Europe) (En,Fr,De) (Rev 1)
RN6400132	Diddy Kong Racing (Europe) (En,Fr,De)
RN6400133	Diddy Kong Racing (USA) (En,Fr) (Rev 1)
RN6400134	Diddy Kong Racing (USA) (En,Fr)
RN6400135	Diddy Kong Racing (USA)
RN6400136	Donald Duck - Goin' Quackers (USA) (En,Fr,De,Es,It)
RN6400137	Donald Duck - Goin' Quackers (USA)
RN6400138	Donald Duck - Quack Attack (Europe) (En,Fr,De,Es,It)
RN6400139	Donkey Kong 64 (Europe) (En,Fr,De,Es)
RN6400140	Donkey Kong 64 (USA) (Demo) (Kiosk)
RN6400141	Donkey Kong 64 (USA)
RN6400142	Doom 64 (Europe)
RN6400143	Doom 64 (USA) (Rev 1)
RN6400144	Doom 64 (USA)
RN6400145	Dr. Mario 64 (USA)
RN6400146	Dual Heroes (Europe)
RN6400147	Dual Heroes (USA)
RN6400148	Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es) (Beta)
RN6400149	Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es)
RN6400150	Duck Dodgers Starring Daffy Duck (USA)
RN6400151	Duke Nukem - Zero Hour (Europe)
RN6400152	Duke Nukem - Zero Hour (France)
RN6400153	Duke Nukem - Zero Hour (USA)
RN6400154	Duke Nukem 64 (Europe) (Beta)
RN6400155	Duke Nukem 64 (Europe)
RN6400156	Duke Nukem 64 (France)
RN6400157	Duke Nukem 64 (USA)
RN6400158	Earthworm Jim 3D (Europe) (En,Fr,De,Es,It)
RN6400159	Earthworm Jim 3D (USA)
RN6400160	ECW Hardcore Revolution (Europe)
RN6400161	ECW Hardcore Revolution (USA)
RN6400162	Elmo's Letter Adventure (USA)
RN6400163	Elmo's Number Journey (USA)
RN6400164	Excitebike 64 (Europe)
RN6400165	Excitebike 64 (USA) (Demo) (Kiosk)
RN6400166	Excitebike 64 (USA) (Rev 1)
RN6400167	Excitebike 64 (USA)
RN6400168	Extreme-G (Europe) (En,Fr,De,Es,It)
RN6400169	Extreme-G (USA)
RN6400170	Extreme-G XG2 (Europe) (En,Fr,De,Es,It)
RN6400171	Extreme-G XG2 (USA)
RN6400172	F-1 World Grand Prix (Europe) (Beta)
RN6400173	F-1 World Grand Prix (Europe)
RN6400174	F-1 World Grand Prix (France)
RN6400175	F-1 World Grand Prix (Germany)
RN6400176	F-1 World Grand Prix (USA)
RN6400177	F-1 World Grand Prix II (Europe) (En,Fr,De,Es)
RN6400178	F-1 World Grand Prix II (Europe)
RN6400179	F-Zero X (Europe)
RN6400180	F-Zero X (USA)
RN6400181	F1 Pole Position 64 (Europe) (En,Fr,De)
RN6400182	F1 Pole Position 64 (USA) (En,Fr,De)
RN6400183	F1 Pole Position 64 (USA)
RN6400184	F1 Racing Championship (Brazil) (En,Fr)
RN6400185	F1 Racing Championship (Europe) (En,Fr,De,Es,It)
RN6400186	FIFA - Road to World Cup 98 (Europe) (En,Fr,De,Es,It,Nl,Sv)
RN6400187	FIFA - Road to World Cup 98 (USA) (En,Fr,De,Es,It,Nl,Sv)
RN6400188	FIFA - Road to World Cup 98 (USA)
RN6400189	FIFA 64 (Europe) (En,Fr,De)
RN6400190	FIFA 99 (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv)
RN6400191	FIFA 99 (USA) (En,Fr,De,Es,It,Nl,Pt,Sv)
RN6400192	FIFA 99 (USA)
RN6400193	FIFA Soccer 64 (USA) (En,Fr,De)
RN6400194	FIFA Soccer 64 (USA)
RN6400195	Fighter Destiny 2 (USA)
RN6400196	Fighters Destiny (Europe)
RN6400197	Fighters Destiny (France)
RN6400198	Fighters Destiny (Germany)
RN6400199	Fighters Destiny (USA)
RN6400200	Fighting Force 64 (Europe)
RN6400201	Fighting Force 64 (USA)
RN6400202	Flying Dragon (Europe)
RN6400203	Flying Dragon (USA)
RN6400204	Forsaken (Europe) (En,Fr,Es,It)
RN6400205	Forsaken (Germany)
